fecha,icg_general
2023-12,2.8582
2024-01,2.6098
2024-02,2.5723
2024-03,2.5606
2024-04,2.4489
2024-05,2.514
2024-06,2.462
2024-07,2.3718
2024-08,2.5372
2024-09,2.1608
2024-10,2.425
2024-11,2.664
2024-12,2.655
2025-01,2.605
2025-02,2.558
2025-03,2.42
2025-04,2.331
2025-05,2.448
2025-06,2.336
2025-07,2.451
2025-08,2.118
2025-09,1.944
2025-10,2.1011
2025-11,2.4684
2025-12,2.4647
2026-01,2.3969
2026-02,2.3834
2026-03,2.3009
2026-04,2.02
2026-05,1.99
2026-06,2.07
2026-07,1.94
